date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:55:47	169775/169775	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202023%2008:11:17%20GMT	https://www.classcentral.com/report/	C:/Users/T460/Desktop/yesss/www.classcentral.com/report/index.html	(from https://www.classcentral.com/)
12:55:48	837023/837023	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202023%2010:55:46%20GMT	https://www.classcentral.com/collection/top-free-online-courses	C:/Users/T460/Desktop/yesss/www.classcentral.com/collection/top-free-online-courses.html	(from https://www.classcentral.com/)
12:55:48	4282/4282	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2012:59:08%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=d9866ee3df3a50272132b746506802ee	C:/Users/T460/Desktop/yesss/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-time3e68.png	(from https://www.classcentral.com/)
12:55:48	33057/33057	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Feb%202023%2004:01:45%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=11c7448eb8908a8cc785e26ec27de650	C:/Users/T460/Desktop/yesss/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-timec7ac.png	(from https://www.classcentral.com/)
12:55:48	4168/4168	---M--	200	added ('OK')	image/png	date:Tue,%2011%20Oct%202022%2014:19:28%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=6b9b3ca668420c3d807c332c51ee7f2c	C:/Users/T460/Desktop/yesss/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time0931.png	(from https://www.classcentral.com/)
12:55:49	35437/35437	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2011:28:06%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=8ddc221d6528da20924c85c064e17572	C:/Users/T460/Desktop/yesss/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time45d9.png	(from https://www.classcentral.com/)
12:55:49	198597/198597	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2014:22:48%20GMT	https://www.classcentral.com/report/most-popular-online-courses/	C:/Users/T460/Desktop/yesss/www.classcentral.com/report/most-popular-online-courses/index.html	(from https://www.classcentral.com/)
12:55:50	153433/153433	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2014:24:27%20GMT	https://www.classcentral.com/report/best-free-online-courses-2021/	C:/Users/T460/Desktop/yesss/www.classcentral.com/report/best-free-online-courses-2021/index.html	(from https://www.classcentral.com/)
12:55:52	176714/176714	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2014:24:30%20GMT	https://www.classcentral.com/report/most-popular-courses-2022/	C:/Users/T460/Desktop/yesss/www.classcentral.com/report/most-popular-courses-2022/index.html	(from https://www.classcentral.com/)
12:55:53	145311/145311	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2014:24:25%20GMT	https://www.classcentral.com/report/best-free-online-courses-2022/	C:/Users/T460/Desktop/yesss/www.classcentral.com/report/best-free-online-courses-2022/index.html	(from https://www.classcentral.com/)
12:55:53	178571/178571	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Feb%202023%2014:24:32%20GMT	https://www.classcentral.com/report/100-most-popular-online-courses-2021/	C:/Users/T460/Desktop/yesss/www.classcentral.com/report/100-most-popular-online-courses-2021/index.html	(from https://www.classcentral.com/)
12:55:53	816705/816705	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202023%2010:55:50%20GMT	https://www.classcentral.com/collection/ivy-league-moocs	C:/Users/T460/Desktop/yesss/www.classcentral.com/collection/ivy-league-moocs.html	(from https://www.classcentral.com/)
12:55:53	6215/6215	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Jan%202023%2012:57:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d3af0d0d31cdbdc684a726b330a759f	C:/Users/T460/Desktop/yesss/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social5b92.jpg	(from https://www.classcentral.com/)
12:55:54	50744/50744	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Feb%202023%2008:56:19%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-ivy-league-moocs-social.jpg?auto=format&h=420&ixlib=php-3.3.1&s=c49b305f32e1e971696b9852e3971c6b	C:/Users/T460/Desktop/yesss/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-ivy-league-moocs-social1fe9.jpg	(from https://www.classcentral.com/)
12:55:54	5751/5751	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2023:42:42%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=dbef6e5a11e80f652ab6a5ce5eb593b8	C:/Users/T460/Desktop/yesss/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-coursesd038.png	(from https://www.classcentral.com/)
12:55:54	96645/96645	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2020:37:07%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-coursera-free-courses.png?auto=format&h=420&ixlib=php-3.3.1&s=9044610de77ddba19697f770dd2531c7	C:/Users/T460/Desktop/yesss/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-coursera-free-courses08e8.png	(from https://www.classcentral.com/)
12:55:54	6083/6083	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Aug%202022%2015:46:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-free-certificates.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=f880669c2a69683d851d6be4ee71652e	C:/Users/T460/Desktop/yesss/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-free-certificates7462.png	(from https://www.classcentral.com/)
12:55:55	93874/93874	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Feb%202023%2008:56:20%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-free-certificates.png?auto=format&h=420&ixlib=php-3.3.1&s=bc50a602c38dbf30802649312c6a4474	C:/Users/T460/Desktop/yesss/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-free-certificatesbc95.png	(from https://www.classcentral.com/)
12:55:55	518642/518642	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Feb%202023%2008:11:28%20GMT	https://www.classcentral.com/report/coursera-free-online-courses/	C:/Users/T460/Desktop/yesss/www.classcentral.com/report/coursera-free-online-courses/index.html	(from https://www.classcentral.com/)
12:55:55	6773/6773	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Oct%202022%2013:00:41%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-google-certs.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d0859ee6dce9cd586fcc06d2e5d34ec	C:/Users/T460/Desktop/yesss/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-google-certsa0be.png	(from https://www.classcentral.com/)
12:55:55	29596/29596	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Feb%202023%2008:56:20%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-google-certs.png?auto=format&h=420&ixlib=php-3.3.1&s=ac4c48d612e7961d7335e87451e52ac4	C:/Users/T460/Desktop/yesss/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-google-certsc6f1.png	(from https://www.classcentral.com/)
